name,platform,id,team_name,car_name,avg_speed,total_distance,shots,shots_against,goals,goals_against,saves,assists,score,mvp,shooting_percentage,demos_inflicted,demos_taken
MrWeza7,epic,1bc6c6733f0d423785729728aa04f8b4,MANGA,Fennec,1394,463087,2,5,1,4,0,0,218,False,50.0,0,0
ak559ram,ps4,ak559ram,MANGA,Octane,1557,517195,1,5,0,4,0,0,190,False,0.0,0,1
TR BeShOy,epic,fc1a9af1c0b9488fb678a07b79392cad,MANGA,Octane,1562,519549,3,5,0,4,0,1,178,False,0.0,4,1
3R7,steam,76561198808310871,BABABOOEY,Octane,1438,480490,2,6,2,1,2,1,479,True,100.0,0,1
Omar,steam,76561198274220626,BABABOOEY,Octane,1667,551014,2,6,1,1,1,1,364,False,50.0,2,2
I3bdoGX,steam,76561198825245008,BABABOOEY,Octane,1487,497291,1,6,1,1,1,1,290,False,100.0,0,1
ak559ram,ps4,ak559ram,MANGA,Octane,1474,532618,3,11,1,3,3,0,497,False,33.333332,0,0
TR BeShOy,epic,fc1a9af1c0b9488fb678a07b79392cad,MANGA,Octane,1580,560496,2,11,0,3,2,1,360,False,0.0,0,2
MrWeza7,epic,1bc6c6733f0d423785729728aa04f8b4,MANGA,Fennec,1308,467594,4,11,1,3,0,1,302,False,25.0,0,0
3R7,steam,76561198808310871,BABABOOEY,Octane,1522,539393,4,9,1,2,2,1,548,True,25.0,1,0
Omar,steam,76561198274220626,BABABOOEY,Octane,1684,607240,4,9,2,2,1,1,447,False,50.0,1,0
I3bdoGX,steam,76561198825245008,BABABOOEY,Octane,1432,515600,3,9,0,2,2,1,232,False,0.0,0,0
u are noob,steam,76561198452996823,GROG,Fennec,1553,522801,5,5,3,2,0,0,499,True,60.0,0,0
ABDOx5OD,ps4,ABDOx5OD,GROG,Octane,1373,459910,1,5,1,2,1,1,332,False,100.0,1,1
ancient rl,steam,76561199049741033,GROG,Octane,1567,528987,1,5,0,2,0,0,116,False,0.0,2,0
Syco-Smsm,ps4,Syco-Smsm,NIGHT EAGLES,Octane,1498,498745,1,7,1,4,0,0,268,False,100.0,1,1
S7vB,epic,b3dd50fdd16841eeba9a7a638934da3b,NIGHT EAGLES,Dominus,1377,452910,0,7,0,4,2,1,261,False,0.0,0,2
AJ,steam,76561198999774422,NIGHT EAGLES,Octane,1436,481829,4,7,1,4,0,0,250,False,25.0,0,0
N O T E.,steam,76561198345006368,MANSOURA,Octane,1298,417901,4,8,1,2,1,0,316,False,25.0,1,0
V,steam,76561198432243003,MANSOURA,Octane,1385,447126,1,8,0,2,3,0,298,False,0.0,0,0
Evo.,steam,76561198357616630,MANSOURA,Fennec,1477,473095,1,8,0,2,0,0,196,False,0.0,0,1
LIGHT,steam,76561198400702566,BBL,Fennec,1573,510210,1,6,1,1,1,1,346,True,100.0,0,0
Blaster.isbanned,epic,9a992165c2364f1a883b10fc5327da98,BBL,Octane,1608,521892,4,6,1,1,1,0,339,False,25.0,1,0
Bsharp,steam,76561198815724073,BBL,Octane,1508,484795,3,6,0,1,1,1,260,False,0.0,0,1
Evo.,steam,76561198357616630,MANSOURA,Fennec,1479,466118,3,3,2,0,0,0,472,True,66.666664,0,1
N O T E.,steam,76561198345006368,MANSOURA,Octane,1449,454563,2,3,1,0,1,0,371,False,50.0,0,1
V,steam,76561198432243003,MANSOURA,Octane,1411,443682,0,3,0,0,2,2,266,False,0.0,0,0
Bsharp,steam,76561198815724073,BBL,Octane,1571,498102,1,5,0,3,0,0,164,False,0.0,2,0
LIGHT,steam,76561198400702566,BBL,Fennec,1660,525600,1,5,0,3,1,0,154,False,0.0,0,0
Blaster.isbanned,epic,9a992165c2364f1a883b10fc5327da98,BBL,Octane,1489,471107,1,5,0,3,1,0,130,False,0.0,0,0
u are noob,steam,76561198452996823,GROG,Fennec,1557,489421,5,6,2,0,1,0,432,True,40.0,1,0
ancient rl,steam,76561199049741033,GROG,Octane,1514,477072,1,6,0,0,3,0,249,False,0.0,0,0
ABDOx5OD,ps4,ABDOx5OD,GROG,Octane,1350,425265,3,6,0,0,0,1,210,False,0.0,0,0
